Directory Path,Topic Category,Proposed CTA Button Copy,Word Count,Proposed CTA Subtext Copy
/acne/1-vs-2-percent-salicylic-acid/,Active Ingredients & Actives,Check Active Skincare Ingredient Compatibility,5,Scan your face in 60s to verify if your current active ingredients are clearing your pores or causing chemical irritation.
/acne/accutane-usa/,General Skincare & Anti-Aging,Start Free AI Skin Scan,5,"Scan your face to detect active breakouts, fine lines, skin barrier health, and dark spots in 60 seconds."
/acne/acne-back-cure-cheat-sheet/,General Skincare & Anti-Aging,Start Free AI Skin Scan,5,"Scan your face to detect active breakouts, fine lines, skin barrier health, and dark spots in 60 seconds."
/acne/acne-body-lotion-salicylic-acid-india/,Active Ingredients & Actives,Check Active Skincare Ingredient Compatibility,5,Scan your face in 60s to verify if your current active ingredients are clearing your pores or causing chemical irritation.
/acne/acne-diet-india/,Hormonal Acne & Internal Health,Detect Jawline Hormonal Acne Patterns,5,Scan your jawline and chin to evaluate hormonal acne severity and get a dermatologist-backed active routine.
/acne/acne-marks-vs-acne-scars-difference-india/,Acne Scars & Hyperpigmentation,Analyze Dark Spots: PIE vs PIH,6,Scan your skin in 60s to distinguish red post-acne marks (PIE) from brown melanin spots (PIH) and get a targeted fading routine.
/acne/acne-patches-hydrocolloid-vs-pimple-patches-india/,Face Map & Localized Acne,Run 3-Zone AI Face Map,5,"Scan your forehead, cheeks, and chin to pinpoint the root cause of localized acne (bacterial, fungal, or friction)."
/acne/acne-pcos-treatment-indian-skin/,Hormonal Acne & Internal Health,Detect Jawline Hormonal Acne Patterns,5,Scan your jawline and chin to evaluate hormonal acne severity and get a dermatologist-backed active routine.
/acne/acne-rosacea-vs-acne-vulgaris-india/,General Skincare & Anti-Aging,Start Free AI Skin Scan,5,"Scan your face to detect active breakouts, fine lines, skin barrier health, and dark spots in 60 seconds."
/acne/acne-routine-under-500-india/,Routines & Product Cleansers,Build Your Custom Active Routine,5,"Scan your face in 60s to get a personalized, non-comedogenic regimen tailored to your exact skin type."
/acne/acne-scar-removal-cream-myth-india/,Acne Scars & Hyperpigmentation,Analyze Dark Spots: PIE vs PIH,6,Scan your skin in 60s to distinguish red post-acne marks (PIE) from brown melanin spots (PIH) and get a targeted fading routine.
/acne/acnemoist-cream-vs-acnestar-cream-india/,General Skincare & Anti-Aging,Start Free AI Skin Scan,5,"Scan your face to detect active breakouts, fine lines, skin barrier health, and dark spots in 60 seconds."
/acne/acnestar-soap-vs-perobar-soap-india/,General Skincare & Anti-Aging,Start Free AI Skin Scan,5,"Scan your face to detect active breakouts, fine lines, skin barrier health, and dark spots in 60 seconds."
/acne/adapalene-0.1-gel-for-acne-india/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
/acne/adapalene-0.1-percent-gel-acne-india/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
/acne/adapalene-before-after-results/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
/acne/adapalene-benzoyl-peroxide-gel/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
/acne/adapalene-clindamycin-phosphate-gel/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
/acne/adapalene-differin-adaferin-gel-comparison-india/,Retinoids & Retinization,Check Retinoid Tolerance & Skin Barrier,6,"Scan your face to detect flaking, redness, and micro-peeling before increasing your Adapalene or Tretinoin dosage."
